factor1_change_pct,factor2_change_pct,pcf_new
-20.0,-20.0,2.1500000000000004
-20.0,-10.0,2.225
-20.0,0.0,2.3000000000000003
-20.0,10.0,2.375
-20.0,20.0,2.45
-10.0,-20.0,2.25
-10.0,-10.0,2.3249999999999997
-10.0,0.0,2.4
-10.0,10.0,2.475
-10.0,20.0,2.55
0.0,-20.0,2.3499999999999996
0.0,-10.0,2.425
0.0,0.0,2.5
0.0,10.0,2.575
0.0,20.0,2.6500000000000004
10.0,-20.0,2.45
10.0,-10.0,2.525
10.0,0.0,2.6
10.0,10.0,2.6750000000000003
10.0,20.0,2.75
20.0,-20.0,2.55
20.0,-10.0,2.625
20.0,0.0,2.7
20.0,10.0,2.7750000000000004
20.0,20.0,2.8500000000000005
