feature,mean_abs_shap
lca_proxy_pcf,0.15181312811156988
openpcf_factor_kgco2e_per_kg,0.14915186842094283
industry_group_Technology Hardware & Equipment,0.01617733500188774
product_name_length,0.013444001916697675
company_sector_Technology Hardware & Equipment,0.012586699946468636
company_sector_Chemicals,0.010167896384210375
product_detail_length,0.009165347799432389
company_sector_Materials,0.007841379505616366
company_sector_Energy,0.0075345414169889465
industry_group_Materials,0.006962964378424768
industry_group_Energy,0.006099731575800928
industry_group_Chemicals,0.0037385208891204226
product_weight_kg,0.002698560194612246
industry_Iron Ore,0.0026260409519188173
industry_Concrete (Precast Slab),0.002443035337273954
industry_group_Manufacturing,0.0023031484350051327
industry_Hydrogen,0.0023005852184938636
stage_level_available_Estimated,0.002286001476638002
product_weight_log,0.002266740302493348
ceda_proxy_pcf,0.0022330661059633537
industry_Concrete,0.0021379212299810118
functional_unit_type_Product reported unit,0.002075856908422605
protocol_simple_OpenPCF,0.0019731496423646016
company_sector_Manufacturing,0.0019508955182986302
industry_Titanium,0.0019227268376061971
weight_category_Light (1-10 kg),0.001905110687771247
system_boundary_Reported PCF boundary,0.0017901800077747235
upstream_frac,0.0017585605343971617
industry_Neodymium Magnet,0.0016512350242600218
industry_Biomethanol,0.0015752253504793623
industry_Silicon Wafer (Solar),0.0015584030002797767
industry_Magnesium,0.0015357770428846749
industry_Polyester Fabric,0.0014789265137417232
industry_Methanol (Gas Reformation),0.0014368479072383667
industry_Terephthalic Acid,0.001420887582893623
industry_Rubber (Natural),0.0013718604981688882
industry_Teflon (Ptfe),0.001365454120017108
industry_Silicon Ingot (Solar),0.0012561527739881778
industry_Cement,0.0012349747543891475
industry_Nylon 6 Fabric,0.001208140316436831
industry_Gasoline,0.0011833181498418905
industry_Silicon (Electronics),0.0011627395151914035
data_source_OpenPCF by Terralytiq,0.0011544212675896075
industry_Lpg,0.0011428596347537931
ceda_factor_kgco2e_per_usd,0.0011305483422185438
industry_Glycerine (From Palm Oil),0.001124963275297089
year,0.0011140333943110432
industry_Glucose,0.001080910854405212
"company_sector_Food, Beverage & Tobacco",0.0010678521516360375
industry_Fertilizer,0.0010573486159971323
industry_Ferrite,0.0010425453967070901
industry_Rubber (Epdm),0.0010005424407886951
industry_Nitric Acid,0.0009925419481703031
industry_Silicon (Solar),0.0009512828152445711
industry_Heavy Naphtha,0.0008782822114722459
industry_Aluminum (Foil),0.0008660750396316647
"industry_group_Food, Beverage & Tobacco",0.0008450555770813206
industry_Silicon Ingot (Electronics),0.0008261477155831115
industry_Paper (Kraftliner),0.0008055172061215538
industry_Bioethylene (Wood Crop),0.0008028460514484553
industry_Actuator Coil,0.0007995179314330482
industry_Cotton Fabric,0.0007869802238210707
industry_Silicon (Metallurgical),0.0007864004206631877
industry_Pcba,0.0007611625326241054
industry_Ethylene (Ethane Cracking),0.0007485268758929117
industry_Steel,0.0007256347952625022
industry_Plywood,0.0007127374137987183
company_sector_Packaging,0.0007062449456725201
downstream_x_weight_log,0.00070460583330192
industry_Battery Anode (Graphite),0.0006982040150286522
"industry_Steel (Sheet, Hot-Rolled)",0.0006937437748011059
system_boundary_Cradle-to-gate factor,0.0006887239496447021
industry_Electronic Box Build Assembly,0.000673531764620149
industry_Abs,0.0006638210840112378
industry_Aluminum,0.0006579386576107158
industry_Cast Iron,0.0006562129235749077
industry_Butane,0.0006561571092721753
industry_Aluminum Rod (Machined),0.0006529345244199949
"industry_Iron (Pig, Sinter)",0.00063214215830462
industry_Glass,0.0006275959229775764
downstream_frac,0.0006254085490686598
industry_Alumina,0.0006230874394274702
year_offset,0.0006227179173202271
industry_Diesel,0.0005978189011762034
weight_source_Estimated from external data based on product description,0.0005690630955239161
industry_Rotor,0.0005496897547918398
company_sector_Textiles & Apparel,0.0005331653898547957
weight_category_Very heavy (>1000 kg),0.0005311376342920151
industry_group_Textiles & Apparel,0.0005154374793382695
industry_Nylon 66 Fabric,0.000502164367725343
industry_Steel (Machined),0.0004975052125299074
upstream_x_weight_log,0.0004968827104436033
industry_Solar Cell (Mono-Si),0.0004936784242913238
